filename,branch_name,branch_type,compressor,compressed_bytes,uncompressed_bytes,compression_ratio
DAOD_PHYSLITE.37019878._000001.pool.root.1,ExtrapolatedMuonTrackParticles,DataVector<xAOD::TrackParticle_v1>,ZSTD(5),32195,250260,7.773256716881503
DAOD_PHYSLITE.37019878._000001.pool.root.1,GSFTrackParticles,DataVector<xAOD::TrackParticle_v1>,ZSTD(5),30284,249896,8.25175009906221
DAOD_PHYSLITE.37019878._000001.pool.root.1,InDetTrackParticles,DataVector<xAOD::TrackParticle_v1>,ZSTD(5),39851,249952,6.272163810192969
DAOD_PHYSLITE.37019878._000001.pool.root.1,MuonSpectrometerTrackParticles,DataVector<xAOD::TrackParticle_v1>,ZSTD(5),33515,250260,7.467104281664926
DAOD_PHYSLITE.37019878._000001.pool.root.1,TauTracks,DataVector<xAOD::TauTrack_v1>,ZSTD(5),37430,249672,6.67037135987176
DAOD_PHYSLITE.37019878._000001.pool.root.1,AnalysisTrigMatch_HLT_2e12_lhloose_mu10,DataVector<xAOD::TrigComposite_v1>,ZSTD(5),28370,250512,8.830172717659499
DAOD_PHYSLITE.37019878._000001.pool.root.1,AnalysisTrigMatch_HLT_2e12_lhloose_nod0_mu10,DataVector<xAOD::TrigComposite_v1>,ZSTD(5),28555,250652,8.777867273682368
DAOD_PHYSLITE.37019878._000001.pool.root.1,AnalysisTrigMatch_HLT_2e12_lhvloose_L12EM10VH,DataVector<xAOD::TrigComposite_v1>,ZSTD(5),28573,250680,8.773317467539286
DAOD_PHYSLITE.37019878._000001.pool.root.1,AnalysisTrigMatch_HLT_2e12_lhvloose_nod0_L12EM10VH,DataVector<xAOD::TrigComposite_v1>,ZSTD(5),28812,250820,8.705400527557963
DAOD_PHYSLITE.37019878._000001.pool.root.1,AnalysisTrigMatch_HLT_2e12_loose_mu10,DataVector<xAOD::TrigComposite_v1>,ZSTD(5),28336,250456,8.83879164313947
DAOD_PHYSLITE.37019878._000001.pool.root.1,AnalysisTrigMatch_HLT_2e15_lhvloose_L12EM13VH,DataVector<xAOD::TrigComposite_v1>,ZSTD(5),28573,250680,8.773317467539286
DAOD_PHYSLITE.37019878._000001.pool.root.1,AnalysisTrigMatch_HLT_2e15_lhvloose_nod0_L12EM13VH,DataVector<xAOD::TrigComposite_v1>,ZSTD(5),28812,250820,8.705400527557963
DAOD_PHYSLITE.37019878._000001.pool.root.1,AnalysisTrigMatch_HLT_2e17_lhvloose,DataVector<xAOD::TrigComposite_v1>,ZSTD(5),27908,250400,8.972337680951698
DAOD_PHYSLITE.37019878._000001.pool.root.1,AnalysisTrigMatch_HLT_2e17_lhvloose_nod0,DataVector<xAOD::TrigComposite_v1>,ZSTD(5),28482,250540,8.796432834772839
DAOD_PHYSLITE.37019878._000001.pool.root.1,AnalysisTrigMatch_HLT_2g20_loose_g15_loose,DataVector<xAOD::TrigComposite_v1>,ZSTD(5),28473,250596,8.801180065325045
DAOD_PHYSLITE.37019878._000001.pool.root.1,AnalysisTrigMatch_HLT_2g20_tight,DataVector<xAOD::TrigComposite_v1>,ZSTD(5),28211,250316,8.872992804225301
DAOD_PHYSLITE.37019878._000001.pool.root.1,AnalysisTrigMatch_HLT_2g22_tight,DataVector<xAOD::TrigComposite_v1>,ZSTD(5),28211,250316,8.872992804225301
