Compressor,Iterations,Data name,Source file,Tree name,Branch name,Precision,Average compression time (ms),Average decompression time (ms),Original data size (bytes),Compressed data size (bytes),Compression ratio,Average relative error,Trunk compression level,SZ error bound mode,SZ algorithm,SZ interpolation algorithm
SZ,5.0,root,mc_361106.Zee.1largeRjet1lep.root,mini,jet_MV2c10,3.0,38.2,12.2,535336.0,197910.0,2.7,0.001615,-1,1,1,1
SZ,5.0,root,mc_361106.Zee.1largeRjet1lep.root,mini,jet_MV2c10,3.0,14.4,12.4,535336.0,197910.0,2.7,0.001615,-1,1,2,0
SZ,5.0,root,mc_361106.Zee.1largeRjet1lep.root,mini,jet_MV2c10,3.0,14.6,13.0,535336.0,202072.0,2.65,0.001653,-1,1,2,1
SZ,5.0,root,mc_361106.Zee.1largeRjet1lep.root,mini,jet_MV2c10,3.0,11.0,11.2,535336.0,153515.0,3.49,0.001445,-1,1,3,0
SZ,5.0,root,mc_361106.Zee.1largeRjet1lep.root,mini,jet_MV2c10,3.0,10.6,9.0,535336.0,153515.0,3.49,0.001445,-1,1,3,1
SZ,5.0,root,mc_361106.Zee.1largeRjet1lep.root,mini,jet_MV2c10,3.0,1.6,0.0,535336.0,467321.0,1.15,0.0,-1,1,4,0
SZ,5.0,root,mc_361106.Zee.1largeRjet1lep.root,mini,jet_MV2c10,3.0,1.6,0.0,535336.0,467321.0,1.15,0.0,-1,1,4,1
Trunk,5.0,root,mc_361106.Zee.1largeRjet1lep.root,mini,jet_phi,3.0,137.4,2.0,535336.0,298812.0,1.79,0.000178,9,-1,-1,-1
SZ,5.0,root,mc_361106.Zee.1largeRjet1lep.root,mini,jet_phi,3.0,34.8,26.8,535336.0,196819.0,2.72,0.007024,-1,1,0,0
SZ,5.0,root,mc_361106.Zee.1largeRjet1lep.root,mini,jet_phi,3.0,33.8,26.2,535336.0,196819.0,2.72,0.007024,-1,1,0,1
SZ,5.0,root,mc_361106.Zee.1largeRjet1lep.root,mini,jet_phi,3.0,44.8,14.8,535336.0,211717.0,2.53,0.006558,-1,1,1,0
SZ,5.0,root,mc_361106.Zee.1largeRjet1lep.root,mini,jet_phi,3.0,37.0,13.0,535336.0,211717.0,2.53,0.006558,-1,1,1,1
SZ,5.0,root,mc_361106.Zee.1largeRjet1lep.root,mini,jet_phi,3.0,14.4,13.0,535336.0,211717.0,2.53,0.006558,-1,1,2,0
SZ,5.0,root,mc_361106.Zee.1largeRjet1lep.root,mini,jet_phi,3.0,15.4,13.4,535336.0,213074.0,2.51,0.006992,-1,1,2,1
SZ,5.0,root,mc_361106.Zee.1largeRjet1lep.root,mini,jet_phi,3.0,10.6,11.2,535336.0,174825.0,3.06,0.004337,-1,1,3,0
SZ,5.0,root,mc_361106.Zee.1largeRjet1lep.root,mini,jet_phi,3.0,10.0,11.0,535336.0,174825.0,3.06,0.004337,-1,1,3,1
SZ,5.0,root,mc_361106.Zee.1largeRjet1lep.root,mini,jet_phi,3.0,1.6,0.0,535336.0,493553.0,1.08,0.0,-1,1,4,0
SZ,5.0,root,mc_361106.Zee.1largeRjet1lep.root,mini,jet_phi,3.0,1.6,0.0,535336.0,493553.0,1.08,0.0,-1,1,4,1
