Compressor,Iterations,DataName,Precision,CompressionLevel,ErrorBoundMode,Algo,InterpAlgo,CompressionTimeMS,DecompressionTimeMS,CompressionRatio,CompressedDataSize,OriginalDataSize
Trunk,5,mini-lep_ptcone30,3,9,-1,-1,-1,43,1.39060699607707e-310,7.518682299484766,49298,370656,nan
SZ,5,mini-lep_ptcone30,3,-1,1,0,0,29,12.4,20.20694542877392,18343,370656,nan
SZ,5,mini-lep_ptcone30,3,-1,1,0,1,22.6,12,20.20694542877392,18343,370656,nan
SZ,5,mini-lep_ptcone30,3,-1,1,1,0,23,1.4,19.412171362731748,19094,370656,nan
SZ,5,mini-lep_ptcone30,3,-1,1,1,1,22.6,1.2,19.412171362731748,19094,370656,nan
SZ,5,mini-lep_ptcone30,3,-1,1,2,0,9.2,3,15.35506856124943,24139,370656,nan
SZ,5,mini-lep_ptcone30,3,-1,1,2,1,9,3,15.379917012448132,24100,370656,nan
SZ,5,mini-lep_ptcone30,3,-1,1,3,0,5.6,1,30.146888979259863,12295,370656,nan
SZ,5,mini-lep_ptcone30,3,-1,1,3,1,6,1,30.146888979259863,12295,370656,nan
SZ,5,mini-lep_ptcone30,3,-1,1,4,0,1,1.38844509900004e-310,4.804666537040638,77145,370656,nan
SZ,5,mini-lep_ptcone30,3,-1,1,4,1,1.2,1.38320227105415e-310,4.804666537040638,77145,370656,nan
Trunk,5,mini-lep_etcone20,3,9,-1,-1,-1,96,1,1.6975703588357873,218345,370656,nan
SZ,5,mini-lep_etcone20,3,-1,1,0,0,23.4,19.6,4.189339481893395,88476,370656,inf
SZ,5,mini-lep_etcone20,3,-1,1,0,1,22.4,16,4.189339481893395,88476,370656,inf
SZ,5,mini-lep_etcone20,3,-1,1,1,0,24.6,7,3.9576744434360154,93655,370656,inf
SZ,5,mini-lep_etcone20,3,-1,1,1,1,24,7.2,3.9576744434360154,93655,370656,inf
SZ,5,mini-lep_etcone20,3,-1,1,2,0,8.6,7,3.9576744434360154,93655,370656,inf
SZ,5,mini-lep_etcone20,3,-1,1,2,1,9.6,7.4,3.8978263384265928,95093,370656,inf
SZ,5,mini-lep_etcone20,3,-1,1,3,0,8.4,6.4,4.4996176024279215,82375,370656,nan
SZ,5,mini-lep_etcone20,3,-1,1,3,1,7.2,5,4.4996176024279215,82375,370656,nan
SZ,5,mini-lep_etcone20,3,-1,1,4,0,1.2,1.380578782027e-310,1.0824696203751567,342417,370656,nan
SZ,5,mini-lep_etcone20,3,-1,1,4,1,1,1.3809671992376e-310,1.0824696203751567,342417,370656,nan
Trunk,5,mini-lep_trackd0pvunbiased,3,9,-1,-1,-1,89.4,1.2,1.6892303906153867,219423,370656,0.00017571422643658893
SZ,5,mini-lep_trackd0pvunbiased,3,-1,1,0,0,22.8,12.8,10.138570529828497,36559,370656,1.8263895220205635
SZ,5,mini-lep_trackd0pvunbiased,3,-1,1,0,1,22,13.2,10.138570529828497,36559,370656,1.8263895220205635
SZ,5,mini-lep_trackd0pvunbiased,3,-1,1,1,0,23.2,4,8.755102040816327,42336,370656,1.4997071127868042
SZ,5,mini-lep_trackd0pvunbiased,3,-1,1,1,1,23,4,8.755102040816327,42336,370656,1.4997071127868042
SZ,5,mini-lep_trackd0pvunbiased,3,-1,1,2,0,8,4,8.755102040816327,42336,370656,1.4997071127868042
SZ,5,mini-lep_trackd0pvunbiased,3,-1,1,2,1,11.4,6.2,8.534364854596946,43431,370656,1.6093437506173023
SZ,5,mini-lep_trackd0pvunbiased,3,-1,1,3,0,6.6,2,11.121793140696733,33327,370656,0.463748483334067
SZ,5,mini-lep_trackd0pvunbiased,3,-1,1,3,1,6.2,2,11.121793140696733,33327,370656,0.463748483334067
SZ,5,mini-lep_trackd0pvunbiased,3,-1,1,4,0,1,1.37974008590453e-310,1.0772597675493283,344073,370656,0
SZ,5,mini-lep_trackd0pvunbiased,3,-1,1,4,1,1.2,1.3838384505632e-310,1.0772597675493283,344073,370656,0
Trunk,5,mini-lep_tracksigd0pvunbiased,3,9,-1,-1,-1,74,1,1.8569474712557301,199605,370656,0.0001759935535675543
SZ,5,mini-lep_tracksigd0pvunbiased,3,-1,1,0,0,23,14.2,7.825525176818326,47365,370656,0.46753589072257523
SZ,5,mini-lep_tracksigd0pvunbiased,3,-1,1,0,1,23.6,14,7.825525176818326,47365,370656,0.46753589072257523
SZ,5,mini-lep_tracksigd0pvunbiased,3,-1,1,1,0,24.4,4.6,6.970231491058164,53177,370656,0.4018778124432986
SZ,5,mini-lep_tracksigd0pvunbiased,3,-1,1,1,1,24.6,5,6.970231491058164,53177,370656,0.4018778124432986
SZ,5,mini-lep_tracksigd0pvunbiased,3,-1,1,2,0,9,4.6,6.970231491058164,53177,370656,0.4018778124432986
SZ,5,mini-lep_tracksigd0pvunbiased,3,-1,1,2,1,9.2,5,6.82180586741267,54334,370656,0.38134637654858566
SZ,5,mini-lep_tracksigd0pvunbiased,3,-1,1,3,0,6.4,3,8.671127123005661,42746,370656,0.18304156187378376
SZ,5,mini-lep_tracksigd0pvunbiased,3,-1,1,3,1,7,3,8.671127123005661,42746,370656,0.18304156187378376
SZ,5,mini-lep_tracksigd0pvunbiased,3,-1,1,4,0,1,1.38922654553883e-310,1.1074540174249758,334692,370656,0
