Compressor,Iterations,DataName,Precision,CompressionLevel,ErrorBoundMode,Algo,InterpAlgo,CompressionTimeMS,DecompressionTimeMS,CompressionRatio,CompressedDataSize,OriginalDataSize
SZ,5,mini-lep_ptcone30,3,-1,1,0,0,22.2,11.4,610.6359143327842,607,370656,nan
SZ,5,mini-lep_ptcone30,3,-1,1,0,1,21.2,11.2,610.6359143327842,607,370656,nan
SZ,5,mini-lep_ptcone30,3,-1,1,1,0,23.8,2.2,516.233983286908,718,370656,nan
SZ,5,mini-lep_ptcone30,3,-1,1,1,1,24.4,2.4,516.233983286908,718,370656,nan
SZ,5,mini-lep_ptcone30,3,-1,1,2,0,9,2,516.233983286908,718,370656,nan
SZ,5,mini-lep_ptcone30,3,-1,1,2,1,7.6,2,500.2105263157895,741,370656,nan
SZ,5,mini-lep_ptcone30,3,-1,1,3,0,6.2,1,144.9007036747459,2558,370656,nan
SZ,5,mini-lep_ptcone30,3,-1,1,3,1,6.2,1,144.9007036747459,2558,370656,nan
SZ,5,mini-lep_ptcone30,3,-1,1,4,0,0.2,1.38848514593953e-310,7.025721705176564,52757,370656,nan
SZ,5,mini-lep_ptcone30,3,-1,1,4,1,0.2,1.3821805873189e-310,7.025721705176564,52757,370656,nan
Trunk,5,mini-lep_etcone20,3,9,-1,-1,-1,29.6,1.3906155586385e-310,13.680372038089613,27094,370656,nan
SZ,5,mini-lep_etcone20,3,-1,1,0,0,21.4,11.2,332.1290322580645,1116,370656,inf
SZ,5,mini-lep_etcone20,3,-1,1,0,1,21.2,11,332.1290322580645,1116,370656,inf
SZ,5,mini-lep_etcone20,3,-1,1,1,0,21.8,2,422.64082098061573,877,370656,inf
SZ,5,mini-lep_etcone20,3,-1,1,1,1,22.4,2,422.64082098061573,877,370656,inf
SZ,5,mini-lep_etcone20,3,-1,1,2,0,7.6,2,422.64082098061573,877,370656,inf
SZ,5,mini-lep_etcone20,3,-1,1,2,1,8.2,2,392.22857142857146,945,370656,inf
SZ,5,mini-lep_etcone20,3,-1,1,3,0,6.2,2,62.48415374241402,5932,370656,nan
SZ,5,mini-lep_etcone20,3,-1,1,3,1,7.4,2.2,62.48415374241402,5932,370656,nan
SZ,5,mini-lep_etcone20,3,-1,1,4,0,1,1.37963834672795e-310,1.1205006121616106,330795,370656,nan
SZ,5,mini-lep_etcone20,3,-1,1,4,1,1.2,1.38789125157424e-310,1.1205006121616106,330795,370656,nan
Trunk,5,mini-lep_trackd0pvunbiased,3,9,-1,-1,-1,25.8,1.39052027953166e-310,12.99407537248028,28525,370656,0.00017571422643658893
SZ,5,mini-lep_trackd0pvunbiased,3,-1,1,0,0,20.2,11,274.15384615384613,1352,370656,0.28666480099743524
SZ,5,mini-lep_trackd0pvunbiased,3,-1,1,0,1,20.6,11,274.15384615384613,1352,370656,0.28666480099743524
SZ,5,mini-lep_trackd0pvunbiased,3,-1,1,1,0,22,2,463.89987484355447,799,370656,0.4534646789653471
SZ,5,mini-lep_trackd0pvunbiased,3,-1,1,1,1,22.8,2,463.89987484355447,799,370656,0.4534646789653471
SZ,5,mini-lep_trackd0pvunbiased,3,-1,1,2,0,7.6,2,463.89987484355447,799,370656,0.4534646789653471
SZ,5,mini-lep_trackd0pvunbiased,3,-1,1,2,1,8.4,2,421.2,880,370656,0.5986164972105247
SZ,5,mini-lep_trackd0pvunbiased,3,-1,1,3,0,5.4,1,239.4418604651163,1548,370656,0.46374848333406693
SZ,5,mini-lep_trackd0pvunbiased,3,-1,1,3,1,6,1,239.4418604651163,1548,370656,0.46374848333406693
SZ,5,mini-lep_trackd0pvunbiased,3,-1,1,4,0,1.2,1.38934660690703e-310,1.1171672965983688,331782,370656,0
SZ,5,mini-lep_trackd0pvunbiased,3,-1,1,4,1,1,1.39016090170493e-310,1.1171672965983688,331782,370656,0
Trunk,5,mini-lep_tracksigd0pvunbiased,3,9,-1,-1,-1,16,1.3905093075322e-310,22.870117850311594,16207,370656,0.0001759935535675543
SZ,5,mini-lep_tracksigd0pvunbiased,3,-1,1,0,0,19.4,10.6,658.3587921847247,563,370656,0.10567912864939069
SZ,5,mini-lep_tracksigd0pvunbiased,3,-1,1,0,1,20,10.2,658.3587921847247,563,370656,0.10567912864939069
SZ,5,mini-lep_tracksigd0pvunbiased,3,-1,1,1,0,22,2,574.660465116279,645,370656,0.03333743489311213
SZ,5,mini-lep_tracksigd0pvunbiased,3,-1,1,1,1,22,2,574.660465116279,645,370656,0.03333743489311213
SZ,5,mini-lep_tracksigd0pvunbiased,3,-1,1,2,0,7.6,2.2,574.660465116279,645,370656,0.03333743489311213
SZ,5,mini-lep_tracksigd0pvunbiased,3,-1,1,2,1,7,2,572,648,370656,0.08706007260140951
SZ,5,mini-lep_tracksigd0pvunbiased,3,-1,1,3,0,5.6,1,292.77725118483414,1266,370656,0.18304156187378376
SZ,5,mini-lep_tracksigd0pvunbiased,3,-1,1,3,1,5.4,1,292.77725118483414,1266,370656,0.18304156187378376
SZ,5,mini-lep_tracksigd0pvunbiased,3,-1,1,4,0,1,1.38696034244516e-310,1.153164812942366,321425,370656,0
SZ,5,mini-lep_tracksigd0pvunbiased,3,-1,1,4,1,1.4,1.38802314664845e-310,1.153164812942366,321425,370656,0
Trunk,5,mini-jet_pt,3,9,-1,-1,-1,15,1.39055035989984e-310,50.61800302571861,10576,535336,0.00017540965476027547
SZ,5,mini-jet_pt,3,-1,1,0,0,29,15.4,618.885549132948,865,535336,0.005699437702952418
SZ,5,mini-jet_pt,3,-1,1,0,1,29.2,15.2,618.885549132948,865,535336,0.005699437702952418
SZ,5,mini-jet_pt,3,-1,1,1,0,31.6,3,708.1164021164021,756,535336,0.004847486615039506
SZ,5,mini-jet_pt,3,-1,1,1,1,31.2,3,708.1164021164021,756,535336,0.004847486615039506
SZ,5,mini-jet_pt,3,-1,1,2,0,10,3,708.1164021164021,756,535336,0.004847486615039506
SZ,5,mini-jet_pt,3,-1,1,2,1,10.6,3,616.0368239355581,869,535336,0.004223571599266987
SZ,5,mini-jet_pt,3,-1,1,3,0,9.6,3,91.49478721586054,5851,535336,0.010996072088137954
SZ,5,mini-jet_pt,3,-1,1,3,1,9.4,3.2,91.49478721586054,5851,535336,0.010996072088137954
SZ,5,mini-jet_pt,3,-1,1,4,0,1.6,1.38219222804564e-310,1.17509054590952,455570,535336,0
SZ,5,mini-jet_pt,3,-1,1,4,1,2,1.3812258675813e-310,1.17509054590952,455570,535336,0
Trunk,5,mini-jet_eta,3,9,-1,-1,-1,25,1.39063836985284e-310,21.51066822035601,24887,535336,0.00017627336134550995
SZ,5,mini-jet_eta,3,-1,1,0,0,29,15.2,549.6262833675564,974,535336,0.004416169495634535
SZ,5,mini-jet_eta,3,-1,1,0,1,29,15,549.6262833675564,974,535336,0.004416169495634535
SZ,5,mini-jet_eta,3,-1,1,1,0,33.2,3,613.9174311926605,872,535336,0.004521051826767316
SZ,5,mini-jet_eta,3,-1,1,1,1,33,3,613.9174311926605,872,535336,0.004521051826767316
SZ,5,mini-jet_eta,3,-1,1,2,0,11.6,3,613.9174311926605,872,535336,0.004521051826767316
SZ,5,mini-jet_eta,3,-1,1,2,1,12.8,3,479.69175627240145,1116,535336,0.006276667643045456
SZ,5,mini-jet_eta,3,-1,1,3,0,9.4,4,33.968020304568526,15760,535336,0.005672882542260385
SZ,5,mini-jet_eta,3,-1,1,3,1,9.4,4,33.968020304568526,15760,535336,0.005672882542260385
SZ,5,mini-jet_eta,3,-1,1,4,0,1.6,1.3877508726533e-310,1.1377467201390792,470523,535336,0
SZ,5,mini-jet_eta,3,-1,1,4,1,1.4,1.3885213701231e-310,1.1377467201390792,470523,535336,0
Trunk,5,mini-jet_phi,3,9,-1,-1,-1,23.2,0.2,22.853191035218785,23425,535336,0.00017842056468545726
SZ,5,mini-jet_phi,3,-1,1,0,0,29.6,15.2,908.8896434634975,589,535336,0.002852119018864095
SZ,5,mini-jet_phi,3,-1,1,0,1,29.2,15,908.8896434634975,589,535336,0.002852119018864095
SZ,5,mini-jet_phi,3,-1,1,1,0,36.2,3,788.4182621502209,679,535336,0.0017196118834090033
SZ,5,mini-jet_phi,3,-1,1,1,1,45.2,3.2,788.4182621502209,679,535336,0.0017196118834090033
SZ,5,mini-jet_phi,3,-1,1,2,0,10,3,788.4182621502209,679,535336,0.0017196118834090033
SZ,5,mini-jet_phi,3,-1,1,2,1,10,3,561.1488469601677,954,535336,0.0036043625429153085
SZ,5,mini-jet_phi,3,-1,1,3,0,9.4,4,38.806524102935846,13795,535336,0.0043373112700464175
SZ,5,mini-jet_phi,3,-1,1,3,1,10,4.2,38.806524102935846,13795,535336,0.0043373112700464175
SZ,5,mini-jet_phi,3,-1,1,4,0,1.8,1.3830771757904e-310,1.1418649989548362,468826,535336,0
SZ,5,mini-jet_phi,3,-1,1,4,1,1.6,1.3859034093392e-310,1.1418649989548362,468826,535336,0
Trunk,5,mini-jet_E,3,9,-1,-1,-1,18.2,1.3905099537657e-310,41.993724505804835,12748,535336,0.0001759134517379207
SZ,5,mini-jet_E,3,-1,1,0,0,28.8,15,622.4837209302326,860,535336,0.007219594915474029
SZ,5,mini-jet_E,3,-1,1,0,1,28.4,15.2,622.4837209302326,860,535336,0.007219594915474029
SZ,5,mini-jet_E,3,-1,1,1,0,31,3,672.5326633165829,796,535336,0.007082250734514395
SZ,5,mini-jet_E,3,-1,1,1,1,32,3.2,672.5326633165829,796,535336,0.007082250734514395
SZ,5,mini-jet_E,3,-1,1,2,0,10.2,3,672.5326633165829,796,535336,0.007082250734514395
SZ,5,mini-jet_E,3,-1,1,2,1,10,3,611.8125714285715,875,535336,0.0062927776641563665
SZ,5,mini-jet_E,3,-1,1,3,0,9,3,74.35222222222222,7200,535336,0.014047339730852683
SZ,5,mini-jet_E,3,-1,1,3,1,9,3,74.35222222222222,7200,535336,0.014047339730852683
SZ,5,mini-jet_E,3,-1,1,4,0,1.6,1.38531360890463e-310,1.1531225700001508,464249,535336,0
SZ,5,mini-jet_E,3,-1,1,4,1,1.4,1.38453572050365e-310,1.1531225700001508,464249,535336,0
Trunk,5,mini-jet_jvt,3,9,-1,-1,-1,6,1.39052521095156e-310,104.11046285492027,5142,535336,nan
SZ,5,mini-jet_jvt,3,-1,1,0,0,29.2,15,300.41301907968574,1782,535336,inf
SZ,5,mini-jet_jvt,3,-1,1,0,1,29,15.6,300.41301907968574,1782,535336,inf
SZ,5,mini-jet_jvt,3,-1,1,1,0,30.4,1,447.97991631799164,1195,535336,inf
SZ,5,mini-jet_jvt,3,-1,1,1,1,30.2,1.2,447.97991631799164,1195,535336,inf
SZ,5,mini-jet_jvt,3,-1,1,2,0,10,3,499.3805970149254,1072,535336,inf
SZ,5,mini-jet_jvt,3,-1,1,2,1,10.2,3.4,447.60535117056855,1196,535336,inf
SZ,5,mini-jet_jvt,3,-1,1,3,0,9.2,3,40.0490760828907,13367,535336,nan
SZ,5,mini-jet_jvt,3,-1,1,3,1,9.2,3,40.0490760828907,13367,535336,nan
SZ,5,mini-jet_jvt,3,-1,1,4,0,3.6,1.37974742073893e-310,1.8870789784444013,283685,535336,nan
SZ,5,mini-jet_jvt,3,-1,1,4,1,3.2,1.38544650048573e-310,1.8870789784444013,283685,535336,nan
Trunk,5,mini-jet_MV2c10,3,9,-1,-1,-1,15,1.390644246131e-310,34.54226351787327,15498,535336,0.00015221684478352633
SZ,5,mini-jet_MV2c10,3,-1,1,0,0,29,15.4,436.652528548124,1226,535336,0.001189366494152829
SZ,5,mini-jet_MV2c10,3,-1,1,0,1,29.2,15,436.652528548124,1226,535336,0.001189366494152829
SZ,5,mini-jet_MV2c10,3,-1,1,1,0,31.2,3,570.7206823027718,938,535336,0.0007437247408611107
SZ,5,mini-jet_MV2c10,3,-1,1,1,1,31.6,3.2,570.7206823027718,938,535336,0.0007437247408611107
SZ,5,mini-jet_MV2c10,3,-1,1,2,0,10,3,570.7206823027718,938,535336,0.0007437247408611107
SZ,5,mini-jet_MV2c10,3,-1,1,2,1,13.2,3.6,518.7364341085271,1032,535336,0.0006294830040627198
SZ,5,mini-jet_MV2c10,3,-1,1,3,0,9.6,4.2,30.695871559633026,17440,535336,0.0014450496439498827
SZ,5,mini-jet_MV2c10,3,-1,1,3,1,9.2,4,30.695871559633026,17440,535336,0.0014450496439498827
SZ,5,mini-jet_MV2c10,3,-1,1,4,0,3.8,1.38857613724273e-310,1.2078853612694918,443201,535336,0
