system,timestamp,name,algo,errorBoundMode,interpAlgo,relativeError,data size (bytes),min,max,compression_time (ms),decompression_time (ms),compression_ratio,compression_error_avg,compression_error_min,compression_error_max
Morgana,1744220655808203468,paramSweep_sz3_Poly,0,1,0,0.0005,10000000,1,1.1481482,515.29999999999995,282.5,7230.6579898770788,1.9632863759994507e-05,0,7.3194503784179688e-05
Morgana,1744220664757432935,paramSweep_sz3_Poly,0,1,1,0.0005,10000000,1,1.1481482,513.79999999999995,282.30000000000001,7230.6579898770788,1.9632863759994507e-05,0,7.3194503784179688e-05
Morgana,1744220671867883428,paramSweep_sz3_Poly,1,1,0,0.0005,10000000,1,1.1481482,571.29999999999995,58,15974.44089456869,1.4116174912452698e-05,0,3.7074089050292969e-05
Morgana,1744220678931096841,paramSweep_sz3_Poly,1,1,1,0.0005,10000000,1,1.1481482,567.10000000000002,57.700000000000003,15974.44089456869,1.4116174912452698e-05,0,3.7074089050292969e-05
Morgana,1744220681844935848,paramSweep_sz3_Poly,2,1,0,0.0005,10000000,1,1.1481482,186.59999999999999,61.700000000000003,15974.44089456869,1.4116174912452698e-05,0,3.7074089050292969e-05
Morgana,1744220685478196359,paramSweep_sz3_Poly,2,1,1,0.0005,10000000,1,1.1481482,250.09999999999999,62.600000000000001,27855.153203342619,1.6607797241210937e-05,0,3.5881996154785156e-05
Morgana,1744220688462270672,paramSweep_sz3_Poly,3,1,0,0.0005,10000000,1,1.1481482,170.69999999999999,82.599999999999994,446.88742905662065,3.6736589813232423e-05,0,7.4028968811035156e-05
Morgana,1744220691371967355,paramSweep_sz3_Poly,3,1,1,0.0005,10000000,1,1.1481482,167.69999999999999,78.900000000000006,446.88742905662065,3.6736589813232423e-05,0,7.4028968811035156e-05
Morgana,1744220692171062420,paramSweep_sz3_Poly,4,1,0,0.0005,10000000,1,1.1481482,45.899999999999999,9.3000000000000007,2.1352282772551212,0,0,0
Morgana,1744220692962493617,paramSweep_sz3_Poly,4,1,1,0.0005,10000000,1,1.1481482,46.399999999999999,8.5,2.1352282772551212,0,0,0
