system,timestamp,name,algo,errorBoundMode,interpAlgo,relativeError,data size (bytes),min,max,compression_time (ms),decompression_time (ms),compression_ratio,compression_error_avg,compression_error_min,compression_error_max
Morgana,1744220497879582677,paramSweep_sz3_Poly,0,1,0,0.0005,10000000,-1002001024,998001024,518.60000000000002,289.19999999999999,8090.6148867313914,246656.76318139589,0,802240
Morgana,1744220506990603987,paramSweep_sz3_Poly,0,1,1,0.0005,10000000,-1002001024,998001024,524.79999999999995,284.5,8090.6148867313914,246656.76318139589,0,802240
Morgana,1744220514098647484,paramSweep_sz3_Poly,1,1,0,0.0005,10000000,-1002001024,998001024,570,58.700000000000003,18416.206261510128,226970.80899486251,0,497126
Morgana,1744220521224083146,paramSweep_sz3_Poly,1,1,1,0.0005,10000000,-1002001024,998001024,567.29999999999995,63.799999999999997,18416.206261510128,226970.80899486251,0,497126
Morgana,1744220524283931614,paramSweep_sz3_Poly,2,1,0,0.0005,10000000,-1002001024,998001024,198.59999999999999,63.299999999999997,18416.206261510128,226970.80899486251,0,497126
Morgana,1744220527332088652,paramSweep_sz3_Poly,2,1,1,0.0005,10000000,-1002001024,998001024,194.40000000000001,65.099999999999994,24509.803921568626,207445.14498432499,0,530688
Morgana,1744220530152950946,paramSweep_sz3_Poly,3,1,0,0.0005,10000000,-1002001024,998001024,163.09999999999999,75.700000000000003,614.85489424495825,475723.90774777997,0,1000000
Morgana,1744220532994566696,paramSweep_sz3_Poly,3,1,1,0.0005,10000000,-1002001024,998001024,165.30000000000001,74.700000000000003,614.85489424495825,475723.90774777997,0,1000000
Morgana,1744220533675145769,paramSweep_sz3_Poly,4,1,0,0.0005,10000000,-1002001024,998001024,34.299999999999997,9.3000000000000007,1.2163652209557834,0,0,0
Morgana,1744220534363591614,paramSweep_sz3_Poly,4,1,1,0.0005,10000000,-1002001024,998001024,34.799999999999997,9,1.2163652209557834,0,0,0
