system,timestamp,name,algo,errorBoundMode,interpAlgo,relativeError,data size (bytes),min,max,compression_time (ms),decompression_time (ms),compression_ratio,compression_error_avg,compression_error_min,compression_error_max
Morgana,1744220610065398041,paramSweep_sz3_Sine,0,1,0,0.0005,10000000,0,0.84147096,525.89999999999998,282.80000000000001,12771.392081736909,0.00010665570982159595,0,0.000260964035987854
Morgana,1744220619159972198,paramSweep_sz3_Sine,0,1,1,0.0005,10000000,0,0.84147096,524.10000000000002,285.5,12771.392081736909,0.00010665570982159595,0,0.000260964035987854
Morgana,1744220626349855152,paramSweep_sz3_Sine,1,1,0,0.0005,10000000,0,0.84147096,572.39999999999998,61.799999999999997,28248.587570621468,8.1621381914899848e-05,0,0.00020909309387207031
Morgana,1744220633457841840,paramSweep_sz3_Sine,1,1,1,0.0005,10000000,0,0.84147096,569,57.700000000000003,28248.587570621468,8.1621381914899848e-05,0,0.00020909309387207031
Morgana,1744220636324853170,paramSweep_sz3_Sine,2,1,0,0.0005,10000000,0,0.84147096,184.80000000000001,58.5,28248.587570621468,8.1621381914899848e-05,0,0.00020909309387207031
Morgana,1744220639653309400,paramSweep_sz3_Sine,2,1,1,0.0005,10000000,0,0.84147096,223.69999999999999,61.100000000000001,28011.204481792716,8.3282689902841025e-05,0,0.00021416321396827698
Morgana,1744220642539698533,paramSweep_sz3_Sine,3,1,0,0.0005,10000000,0,0.84147096,165,80.299999999999997,703.13598649978906,0.00021035886727578955,0,0.00042073428630828857
Morgana,1744220645422974584,paramSweep_sz3_Sine,3,1,1,0.0005,10000000,0,0.84147096,164.19999999999999,80.099999999999994,703.13598649978906,0.00021035886727578955,0,0.00042073428630828857
Morgana,1744220646049226636,paramSweep_sz3_Sine,4,1,0,0.0005,10000000,0,0.84147096,30.399999999999999,8.1999999999999993,1.3157567528912768,0,0,0
Morgana,1744220646710184374,paramSweep_sz3_Sine,4,1,1,0.0005,10000000,0,0.84147096,31.300000000000001,10,1.3157567528912768,0,0,0
