system,timestamp,name,algo,errorBoundMode,interpAlgo,relativeError,data size (bytes),min,max,compression_time (ms),decompression_time (ms),compression_ratio,compression_error_avg,compression_error_min,compression_error_max
Morgana,1744220229185164190,paramSweep_sz3_UniformRandom,0,1,0,0.0005,10000000,-9.999989,9.999983,569.10000000000002,499.89999999999998,3.029905469979242,0.0049970004901917966,0,0.0099999606609344482
Morgana,1744220241148399186,paramSweep_sz3_UniformRandom,0,1,1,0.0005,10000000,-9.999989,9.999983,569.79999999999995,497.60000000000002,3.029905469979242,0.0049970004901917966,0,0.0099999606609344482
Morgana,1744220251043239401,paramSweep_sz3_UniformRandom,1,1,0,0.0005,10000000,-9.999989,9.999983,625.70000000000005,255.90000000000001,2.8987532172537271,0.0043739154766005931,0,0.0099999457597732544
Morgana,1744220260993107929,paramSweep_sz3_UniformRandom,1,1,1,0.0005,10000000,-9.999989,9.999983,626.70000000000005,256.60000000000002,2.8987532172537271,0.0043739154766005931,0,0.0099999457597732544
Morgana,1744220266679535126,paramSweep_sz3_UniformRandom,2,1,0,0.0005,10000000,-9.999989,9.999983,243.5,256,2.8987532172537271,0.0043739154766005931,0,0.0099999457597732544
Morgana,1744220272427166174,paramSweep_sz3_UniformRandom,2,1,1,0.0005,10000000,-9.999989,9.999983,244.40000000000001,260.89999999999998,2.8793301526332913,0.0043755585002183735,0,0.0099999308586120605
Morgana,1744220277023489504,paramSweep_sz3_UniformRandom,3,1,0,0.0005,10000000,-9.999989,9.999983,187.40000000000001,213.40000000000001,3.199107321093122,0.0049997214788459242,0,0.0099999010562896729
Morgana,1744220281614893446,paramSweep_sz3_UniformRandom,3,1,1,0.0005,10000000,-9.999989,9.999983,187.5,212.69999999999999,3.199107321093122,0.0049997214788459242,0,0.0099999010562896729
Morgana,1744220282266016098,paramSweep_sz3_UniformRandom,4,1,0,0.0005,10000000,-9.999989,9.999983,33.399999999999999,8.4000000000000004,1.1004677538187606,0,0,0
Morgana,1744220282914719719,paramSweep_sz3_UniformRandom,4,1,1,0.0005,10000000,-9.999989,9.999983,33.399999999999999,8.5,1.1004677538187606,0,0,0
