system,timestamp,name,algo,errorBoundMode,interpAlgo,relativeError,data size (bytes),min,max,compression_time (ms),decompression_time (ms),compression_ratio,compression_error_avg,compression_error_min,compression_error_max
Morgana,1744220291971696511,paramSweep_sz3_Sine,0,1,0,0.0005,10000000,-1,1,516.10000000000002,285.89999999999998,4288.1646655231561,0.00026727808716895524,0,0.00099414587020874023
Morgana,1744220301012196760,paramSweep_sz3_Sine,0,1,1,0.0005,10000000,-1,1,520.20000000000005,284.89999999999998,4288.1646655231561,0.00026727808716895524,0,0.00099414587020874023
Morgana,1744220308074244346,paramSweep_sz3_Sine,1,1,0,0.0005,10000000,-1,1,564.79999999999995,60.299999999999997,10526.315789473685,0.00021049107714622513,0,0.00049990415573120117
Morgana,1744220315091236589,paramSweep_sz3_Sine,1,1,1,0.0005,10000000,-1,1,562.20000000000005,58.399999999999999,10526.315789473685,0.00021049107714622513,0,0.00049990415573120117
Morgana,1744220317964438221,paramSweep_sz3_Sine,2,1,0,0.0005,10000000,-1,1,185.90000000000001,58.299999999999997,10526.315789473685,0.00021049107714622513,0,0.00049990415573120117
Morgana,1744220321242394378,paramSweep_sz3_Sine,2,1,1,0.0005,10000000,-1,1,220,60.899999999999999,14025.245441795232,0.000175402993789452,0,0.00068145990371704102
Morgana,1744220324240196066,paramSweep_sz3_Sine,3,1,0,0.0005,10000000,-1,1,174.69999999999999,80.5,216.18349655187322,0.00049575178878520404,0,0.00099998712539672852
Morgana,1744220327190426765,paramSweep_sz3_Sine,3,1,1,0.0005,10000000,-1,1,171.40000000000001,79.5,216.18349655187322,0.00049575178878520404,0,0.00099998712539672852
Morgana,1744220327842881129,paramSweep_sz3_Sine,4,1,0,0.0005,10000000,-1,1,33.299999999999997,8.1999999999999993,1.2040868151410065,0,0,0
Morgana,1744220328498358183,paramSweep_sz3_Sine,4,1,1,0.0005,10000000,-1,1,33.200000000000003,8.5999999999999996,1.2040868151410065,0,0,0
