Compressor,Iterations,DataName,Precision,CompressionLevel,ErrorBoundMode,Algo,InterpAlgo,CompressionTimeMS,DecompressionTimeMS,CompressionRatio,CompressedDataSize,OriginalDataSize
SZ,5,mini-largeRjet_truthMatched,3,-1,1,4,1,1.38275879094095e-310,1.39065878436233e-310,20.780513705448996,15067,313100
Trunk,5,mini-largeRjet_D2,3,9,-1,-1,-1,119.6,1,1.8862922999993976,165987,313100
SZ,5,mini-largeRjet_D2,3,-1,1,0,0,18.4,12,5.4883606787266865,57048,313100
SZ,5,mini-largeRjet_D2,3,-1,1,0,1,19.6,12.6,5.4883606787266865,57048,313100
SZ,5,mini-largeRjet_D2,3,-1,1,1,0,19.2,3.2,5.457175724195628,57374,313100
SZ,5,mini-largeRjet_D2,3,-1,1,1,1,19.4,3.8,5.457175724195628,57374,313100
SZ,5,mini-largeRjet_D2,3,-1,1,2,0,8.6,5.2,5.0828747219922406,61599,313100
SZ,5,mini-largeRjet_D2,3,-1,1,2,1,9.4,5,4.922878571091649,63601,313100
SZ,5,mini-largeRjet_D2,3,-1,1,3,0,6.8,2.8,8.425953335665653,37159,313100
SZ,5,mini-largeRjet_D2,3,-1,1,3,1,6.6,2.6,8.425953335665653,37159,313100
SZ,5,mini-largeRjet_D2,3,-1,1,4,0,3.2,1.3906025802908e-310,1.2089083144783277,258994,313100
SZ,5,mini-largeRjet_D2,3,-1,1,4,1,3.6,1.3906046983544e-310,1.2089083144783277,258994,313100
Trunk,5,mini-largeRjet_tau32,3,9,-1,-1,-1,111.8,1,2.337805852354606,133929,313100
SZ,5,mini-largeRjet_tau32,3,-1,1,0,0,23.8,15.8,2.6005631369552398,120397,313100
SZ,5,mini-largeRjet_tau32,3,-1,1,0,1,23.4,15.6,2.6005631369552398,120397,313100
SZ,5,mini-largeRjet_tau32,3,-1,1,1,0,28.6,8,2.724812239463218,114907,313100
SZ,5,mini-largeRjet_tau32,3,-1,1,1,1,26,7,2.724812239463218,114907,313100
SZ,5,mini-largeRjet_tau32,3,-1,1,2,0,17,8.8,2.321391500341054,134876,313100
SZ,5,mini-largeRjet_tau32,3,-1,1,2,1,15,8.2,2.2098316688428556,141685,313100
SZ,5,mini-largeRjet_tau32,3,-1,1,3,0,8.8,5,4.1652809003711635,75169,313100
SZ,5,mini-largeRjet_tau32,3,-1,1,3,1,7.6,5.2,4.1652809003711635,75169,313100
SZ,5,mini-largeRjet_tau32,3,-1,1,4,0,3.2,1.3905510496157e-310,1.3880761114362221,225564,313100
SZ,5,mini-largeRjet_tau32,3,-1,1,4,1,3.4,1.39050283072226e-310,1.3880761114362221,225564,313100
Trunk,5,mini-largeRjet_pt_syst,3,9,-1,-1,-1,81.6,1,1.891157284368205,165560,313100
SZ,5,mini-largeRjet_pt_syst,3,-1,1,0,0,18,13,4.245999457553567,73740,313100
SZ,5,mini-largeRjet_pt_syst,3,-1,1,0,1,18.4,13.6,4.245999457553567,73740,313100
SZ,5,mini-largeRjet_pt_syst,3,-1,1,1,0,20.4,6,3.9769840463367543,78728,313100
SZ,5,mini-largeRjet_pt_syst,3,-1,1,1,1,20.2,6,3.9769840463367543,78728,313100
SZ,5,mini-largeRjet_pt_syst,3,-1,1,2,0,7.4,6,3.9769840463367543,78728,313100
SZ,5,mini-largeRjet_pt_syst,3,-1,1,2,1,7.4,6,3.928629684931679,79697,313100
SZ,5,mini-largeRjet_pt_syst,3,-1,1,3,0,6.2,4,4.789146029949371,65377,313100
SZ,5,mini-largeRjet_pt_syst,3,-1,1,3,1,6,4,4.789146029949371,65377,313100
SZ,5,mini-largeRjet_pt_syst,3,-1,1,4,0,3.2,1.3906072202352e-310,1.2492718233543207,250626,313100
SZ,5,mini-largeRjet_pt_syst,3,-1,1,4,1,3,1.39053659162486e-310,1.2492718233543207,250626,313100
