Compressor,Iterations,DataName,Precision,CompressionLevel,ErrorBoundMode,Algo,InterpAlgo,CompressionTimeMS,DecompressionTimeMS,CompressionRatio,CompressedDataSize,OriginalDataSize
SZ,5,mini-lep_ptcone30,3,-1,1,4,0,1,1.3906696059734e-310,4.804666537040638,77145,370656
SZ,5,mini-lep_ptcone30,3,-1,1,4,1,1,1.3905602525516e-310,4.804666537040638,77145,370656
Trunk,5,mini-lep_etcone20,3,9,-1,-1,-1,96.2,1,1.6975703588357873,218345,370656
SZ,5,mini-lep_etcone20,3,-1,1,0,0,21.2,16,4.189339481893395,88476,370656
SZ,5,mini-lep_etcone20,3,-1,1,0,1,22,16.2,4.189339481893395,88476,370656
SZ,5,mini-lep_etcone20,3,-1,1,1,0,23.2,7,3.9576744434360154,93655,370656
SZ,5,mini-lep_etcone20,3,-1,1,1,1,24.2,7,3.9576744434360154,93655,370656
SZ,5,mini-lep_etcone20,3,-1,1,2,0,8.2,7,3.9576744434360154,93655,370656
SZ,5,mini-lep_etcone20,3,-1,1,2,1,8.2,7,3.8978263384265928,95093,370656
SZ,5,mini-lep_etcone20,3,-1,1,3,0,6.8,5.4,4.4996176024279215,82375,370656
SZ,5,mini-lep_etcone20,3,-1,1,3,1,7,5.4,4.4996176024279215,82375,370656
SZ,5,mini-lep_etcone20,3,-1,1,4,0,1.2,1.39059359298474e-310,1.0824696203751567,342417,370656
SZ,5,mini-lep_etcone20,3,-1,1,4,1,1,1.39064165585736e-310,1.0824696203751567,342417,370656
Trunk,5,mini-lep_trackd0pvunbiased,3,9,-1,-1,-1,87.8,1,1.6892303906153867,219423,370656
SZ,5,mini-lep_trackd0pvunbiased,3,-1,1,0,0,21.4,12.2,10.138570529828497,36559,370656
SZ,5,mini-lep_trackd0pvunbiased,3,-1,1,0,1,21,12.8,10.138570529828497,36559,370656
SZ,5,mini-lep_trackd0pvunbiased,3,-1,1,1,0,22.4,3.6,8.755102040816327,42336,370656
SZ,5,mini-lep_trackd0pvunbiased,3,-1,1,1,1,23.2,3.8,8.755102040816327,42336,370656
SZ,5,mini-lep_trackd0pvunbiased,3,-1,1,2,0,7.4,3.4,8.755102040816327,42336,370656
SZ,5,mini-lep_trackd0pvunbiased,3,-1,1,2,1,8,4,8.534364854596946,43431,370656
SZ,5,mini-lep_trackd0pvunbiased,3,-1,1,3,0,6,2,11.121793140696733,33327,370656
SZ,5,mini-lep_trackd0pvunbiased,3,-1,1,3,1,6.4,3,11.121793140696733,33327,370656
SZ,5,mini-lep_trackd0pvunbiased,3,-1,1,4,0,1.2,1.39057779851977e-310,1.0772597675493283,344073,370656
SZ,5,mini-lep_trackd0pvunbiased,3,-1,1,4,1,1,1.3906283465006e-310,1.0772597675493283,344073,370656
Trunk,5,mini-lep_tracksigd0pvunbiased,3,9,-1,-1,-1,72.2,1,1.8569474712557301,199605,370656
SZ,5,mini-lep_tracksigd0pvunbiased,3,-1,1,0,0,21.2,13.2,7.825525176818326,47365,370656
SZ,5,mini-lep_tracksigd0pvunbiased,3,-1,1,0,1,23,15.4,7.825525176818326,47365,370656
SZ,5,mini-lep_tracksigd0pvunbiased,3,-1,1,1,0,22.6,4.6,6.970231491058164,53177,370656
SZ,5,mini-lep_tracksigd0pvunbiased,3,-1,1,1,1,22.4,4,6.970231491058164,53177,370656
SZ,5,mini-lep_tracksigd0pvunbiased,3,-1,1,2,0,8.2,8.2,6.970231491058164,53177,370656
SZ,5,mini-lep_tracksigd0pvunbiased,3,-1,1,2,1,8.2,4,6.82180586741267,54334,370656
SZ,5,mini-lep_tracksigd0pvunbiased,3,-1,1,3,0,6.2,3,8.671127123005661,42746,370656
SZ,5,mini-lep_tracksigd0pvunbiased,3,-1,1,3,1,6,3,8.671127123005661,42746,370656
SZ,5,mini-lep_tracksigd0pvunbiased,3,-1,1,4,0,1,1.39054830448024e-310,1.1074540174249758,334692,370656
SZ,5,mini-lep_tracksigd0pvunbiased,3,-1,1,4,1,1.2,1.39060146511923e-310,1.1074540174249758,334692,370656
Trunk,5,mini-jet_pt,3,9,-1,-1,-1,112,1.4,1.9351569023666393,276637,535336
