system,timestamp,name,bitsTruncated,compressionLevel,data size (bytes),min,max,compression_time (ms),decompression_time (ms),compression_ratio,compression_error_avg,compression_error_min,compression_error_max
Morgana,1744219698277758300,paramSweep_zlib_Sine,13,1,10000000,-1,1,69.599999999999994,12,30.966367428336085,9.2005129656129241e-05,0,0.000244140625
Morgana,1744219699301781531,paramSweep_zlib_Sine,13,2,10000000,-1,1,70.700000000000003,12,30.953523284787892,9.2005129656129241e-05,0,0.000244140625
Morgana,1744219700361735094,paramSweep_zlib_Sine,13,3,10000000,-1,1,75.599999999999994,12,30.935616794327647,9.2005129656129241e-05,0,0.000244140625
Morgana,1744219701572364392,paramSweep_zlib_Sine,13,4,10000000,-1,1,89.700000000000003,12,50.323833870959625,9.2005129656129241e-05,0,0.000244140625
Morgana,1744219702833862466,paramSweep_zlib_Sine,13,5,10000000,-1,1,96.099999999999994,12,50.323833870959625,9.2005129656129241e-05,0,0.000244140625
Morgana,1744219704327781140,paramSweep_zlib_Sine,13,6,10000000,-1,1,118.3,12,50.323074135952815,9.2005129656129241e-05,0,0.000244140625
Morgana,1744219705994398794,paramSweep_zlib_Sine,13,7,10000000,-1,1,134.30000000000001,12,50.323074135952815,9.2005129656129241e-05,0,0.000244140625
Morgana,1744219708282396028,paramSweep_zlib_Sine,13,8,10000000,-1,1,197.19999999999999,12.199999999999999,50.319022603304951,9.2005129656129241e-05,0,0.000244140625
Morgana,1744219710914192585,paramSweep_zlib_Sine,13,9,10000000,-1,1,231.69999999999999,12,50.319022603304951,9.2005129656129241e-05,0,0.000244140625
