system,timestamp,name,bitsTruncated,compressionLevel,data size (bytes),min,max,compression_time (ms),decompression_time (ms),compression_ratio,compression_error_avg,compression_error_min,compression_error_max
Morgana,1744219962343875884,paramSweep_zlib_Poly,13,1,10000000,1,1.1481482,62.399999999999999,10,200.72663040205543,0.00024605335726737978,0,0.00048828125
Morgana,1744219963244238982,paramSweep_zlib_Poly,13,2,10000000,1,1.1481482,62,10,200.72663040205543,0.00024605335726737978,0,0.00048828125
Morgana,1744219964177462895,paramSweep_zlib_Poly,13,3,10000000,1,1.1481482,63.5,10,200.75483819160041,0.00024605335726737978,0,0.00048828125
Morgana,1744219965294958178,paramSweep_zlib_Poly,13,4,10000000,1,1.1481482,82.099999999999994,11.199999999999999,958.68085514332279,0.00024605335726737978,0,0.00048828125
Morgana,1744219966400444893,paramSweep_zlib_Poly,13,5,10000000,1,1.1481482,80,10.800000000000001,958.68085514332279,0.00024605335726737978,0,0.00048828125
Morgana,1744219967496358173,paramSweep_zlib_Poly,13,6,10000000,1,1.1481482,80.799999999999997,10.699999999999999,958.68085514332279,0.00024605335726737978,0,0.00048828125
Morgana,1744219968618210450,paramSweep_zlib_Poly,13,7,10000000,1,1.1481482,80.700000000000003,11.9,958.68085514332279,0.00024605335726737978,0,0.00048828125
Morgana,1744219969725726924,paramSweep_zlib_Poly,13,8,10000000,1,1.1481482,81.5,10.9,958.68085514332279,0.00024605335726737978,0,0.00048828125
Morgana,1744219970888006489,paramSweep_zlib_Poly,13,9,10000000,1,1.1481482,84.400000000000006,12.4,958.68085514332279,0.00024605335726737978,0,0.00048828125
