system,timestamp,name,bitsTruncated,compressionLevel,noise,data size (bytes),min,max,compression_time (ms),decompression_time (ms),compression_ratio,compression_error_avg,compression_error_min,compression_error_max
Morgana,1744219974514612667,paramSweep_zlib_NoisySine,13,1,0.5,10000000,-2.7229545,2.82578,253.40000000000001,48,1.6033022896599669,7.8833327449404162e-05,0,0.0009765625
Morgana,1744219978451162293,paramSweep_zlib_NoisySine,13,2,0.5,10000000,-2.7229545,2.82578,324.19999999999999,50.399999999999999,1.6167327964271498,7.8833327449404162e-05,0,0.0009765625
Morgana,1744219984312029026,paramSweep_zlib_NoisySine,13,3,0.5,10000000,-2.7229545,2.82578,527.5,39.100000000000001,1.6862411156171222,7.8833327449404162e-05,0,0.0009765625
Morgana,1744219989214441760,paramSweep_zlib_NoisySine,13,4,0.5,10000000,-2.7229545,2.82578,426.69999999999999,44,1.6555011392331089,7.8833327449404162e-05,0,0.0009765625
Morgana,1744219996346474330,paramSweep_zlib_NoisySine,13,5,0.5,10000000,-2.7229545,2.82578,649,42.100000000000001,1.6778624837331233,7.8833327449404162e-05,0,0.0009765625
Morgana,1744220012487529307,paramSweep_zlib_NoisySine,13,6,0.5,10000000,-2.7229545,2.82578,1554.5999999999999,40.299999999999997,1.7250536966089411,7.8833327449404162e-05,0,0.0009765625
Morgana,1744220033008650874,paramSweep_zlib_NoisySine,13,7,0.5,10000000,-2.7229545,2.82578,1992.4000000000001,40.700000000000003,1.7366134024181299,7.8833327449404162e-05,0,0.0009765625
Morgana,1744220060320373175,paramSweep_zlib_NoisySine,13,8,0.5,10000000,-2.7229545,2.82578,2671.3000000000002,40.299999999999997,1.7482404397034494,7.8833327449404162e-05,0,0.0009765625
Morgana,1744220087624694731,paramSweep_zlib_NoisySine,13,9,0.5,10000000,-2.7229545,2.82578,2670.5999999999999,40.600000000000001,1.7482404397034494,7.8833327449404162e-05,0,0.0009765625
